sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
87|C,H„C1,|1,2-diehloropropane|78-87-5|3|578.00|-7.70557|2.62197|-2.74104|-3.08934|46.5|||0.05333|293.67|2.7|406.5
88|C,H„0|2-propen-l-ol (allyl alcohol)|107-18-6|1|8.78252|4510.213|416.797||||||0.03|294.00|1|370.23
89|C,H„0|propanone (acetone)|67-64-1|1|4.21840|1197.010|228.060||||||0.02|247.38|2|350.65
89|C,H„0|propanone (acetone)|67-64-1|3|508.10|-7.55098|1.60784|-1.9944|-3.2002|47.02|||||47.02|508.10
90|C,H,0,|propanoic aeid|79-09-4|1|4.75466|1662.582|209.046||||||0.02|321.72|2|437.41
90|C,H,0,|propanoic aeid|79-09-4|3|604.00|-8.14882|0.79590|-3.1836|-3.81338|45.30|||||45.30|604.00
91|C,H„0,|methyl ethanoate (methyl acetate)|79-20-9|1|4.18621|1 156.430|219.690||||||0.02|249.90|2|351.11
92|C,H„0,|ethyl methanoate (ethyl formate)|109-94-4|1|4.07899|1101.000|215.980||||||0.02|247.80|2|348.60
93|C,H„0,|dimethylcarbonate|616-38-6|3|557.00|-8.24279|3.25566|-4.2825|-2.1194|48|||0.13322|310.56|2.7|397.5
94|C,H7C1|1 -ehloropropane|540-54-5|1|4.07655|1 125.009|229.860||||||0.02|238.09|2|341.29
95|C,H„|propane|74-98-6|1|3.92828|803.9970|247.040||||||0.02|168.90|2|247.76
95|C,H„|propane|74-98-6|3|369.85|-6.76368|1.55481|-1.5872|-2.024|42.47|||||42.47|369.85
96|C,H„0|1-propanol|71-23-8|1|4.99991|1512.940|205.807||||||0.02|293.19|2|389.32
96|C,H„0|1-propanol|71-23-8|3|536.78|-8.53706|1.96214|-7.6918|2.9450|51.68|||||51.68|536.78
97|C,H„0|2-propanol|67-63-0|1|5.24268|1580.920|219.610||||||0.02|281.28|2|373.46
97|C,H„0|2-propanol|67-63-0|3|508.30|-8.73656|2.16240|-8.70785|4.77927|47.63|||||47.63|508.30
98|C,H„0|methyl ethyl ether|540-67-0|1|3.00683|504.4900|160.750||||||0.06|232.00|2|298.85
99|C,H„S|2-thiabutane (methyl ethyl sulfide)|624-89-5|1|4.06339|1 182.562|224.784||||||0.02|253.50|2|362.68
100|C,H„N|1-propanamine (propyl amine)|107-10-8|1|4.34440|1 186.390|226.210||||||0.02|258.31|2|340.36
100|C,H„N|1-propanamine (propyl amine)|107-10-8|2|3.50110|759.5000|170.000|497.00|55|2.13340|1429.00|-80295|1.86|338.15|33.44|473.15
101|C,H„N|2-propanamine (methyl ethyl amine)|75-31-0|1|4.05530|1005.490|216.510||||||0.02|231.38|2|324.47
106|c4h4o|furan|110-00-9|1|4.11990|1070.200|830||||||0.02|228.20|2|324.56
107|c4h4s|thiophene|110-02-1|1|4.08416|1246.020|221.350||||||0.02|267.20|2|381.16
109|c4h„|1 -butyne|107-00-6|1|4.16676|1014.450|235.740||||||0.02|210.35|2|299.83
110|C4H„|1.3-butadiene|106-99-0|1|3.96640|927.2100|238.630||||||0.02|198.00|2|287.49
110|C4H„|1.3-butadiene|106-99-0|2|3.96640|927.2100|238.630|425.00|2|2.51460|23.653|1970.80|2.04|348.15|41.90|343.15
111|c4h„o,|acetic anhydride|108-24-7|3|606.00|-8.35130|1.89050|-2.8357|-5.1156|40.00|||||40.00|606.00
112|c4h„|eyclobutane|287-23-0|1|4.04436|1025.500|241.430||||||0.02|210.20|2|305.67
