,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
111,Isobutane,C4H10,,75-28-5,-97.2,-89.8,-69.4,-58.8,-42.7,-28.5,-12.1,7.0,37.7,66.2,-6.90675,1.5774,-1.8016,-2.42893
112,2-Methyl butane,C5H12,,"78-78-4,13221-81-3,76701-33-2",-69.3,-60.9,-37.6,-25.6,-7.3,8.9,27.5,49.1,83.7,115.8,-7.18224,1.72845,-2.05353,-2.71274
113,"2,2-Dimethyl propane",C5H12,,"463-82-1,1320-76-9",,,,,,-8.6,9.1,29.9,63.3,94.4,-6.98355,1.6785,-2.0847,-2.428
114,2-Methyl pentane,C6H14,,"107-83-5,73513-42-5,43133-95-5",-45.6,-36.3,-10.9,2.2,22.1,39.6,59.8,83.3,120.8,155.5,-7.49311,1.93828,-2.57247,-2.85203
115,3-Methyl pentane,C6H14,,96-14-0,-43.8,-34.4,-8.7,4.6,24.7,42.4,62.8,86.6,124.7,160.0,-7.76049,2.81104,-3.61863,-1.53175
116,"2,2-Dimethyl butane",C6H14,,75-83-2,-54.7,-45.7,-20.7,-7.8,11.9,29.3,49.3,72.7,110.0,144.4,-6.84403,0.74239,-0.92872,-4.01577
117,"2,3-Dimethyl butane",C6H14,,79-29-8,-48.7,-39.3,-13.7,-0.5,19.6,37.2,57.5,81.1,118.8,153.8,-7.23412,1.74312,-2.49507,-1.81829
118,Ethylene,C2H4,,"74-85-1,87701-65-3",-160.5,-155.5,-142.0,-135.0,-124.3,-114.9,-104.0,-91.3,-70.9,-51.8,-6.41327,1.45469,-1.24183,-1.99446
119,Propylene,C3H6,,"115-07-1,90530-12-4,97102-85-7,26063-22-9",-121.5,-115.1,-97.4,-88.3,-74.4,-62.1,-48.0,-31.5,-5.2,19.2,-6.66599,1.4343,-1.39324,-2.46883
120,1-Butene,C4H8,,"106-98-9,25167-67-3,71057-26-6,6993-22-2",-92.5,-84.9,-64.3,-53.7,-37.4,-23.1,-6.7,12.6,43.3,71.8,-7.07897,1.87819,-2.02256,-2.64845
121,1-Pentene,C5H10,,"109-67-1,25587-78-4",-67.1,-58.7,-35.4,-23.4,-5.1,11.0,29.6,51.2,85.6,117.4,-7.23957,1.68881,-1.87158,-3.19856
122,1-Hexene,C6H12,,"592-41-6,26746-82-7,16183-00-9,542-41-6",-42.7,-33.4,-8.0,5.2,25.2,42.8,63.1,86.7,124.4,159.2,-7.47396,1.8545,-2.38903,-3.50639
